일자,기관 합계,기타법인,개인,외국인 합계,전체
2024-11-05,-2014,1000,2281,-1267,0
2024-11-04,3006,0,-35678,32672,0
2024-11-01,-721,-774,32126,-30631,0
2024-10-31,-34,0,17169,-17135,0
2024-10-30,-25311,608,49321,-24618,0
2024-10-29,-28550,-8318,121611,-84743,0
2024-10-28,-33330,3518,-168687,198499,0
2024-10-25,-14468,0,23622,-9154,0
2024-10-24,2578,-70,-23786,21278,0
2024-10-23,-14703,-3006,49740,-32031,0
2024-10-22,2202,5391,-18513,10920,0
2024-10-21,-26185,0,32928,-6743,0
2024-10-18,-1914,-2233,11194,-7047,0
2024-10-17,-20373,-2136,636,21873,0
2024-10-16,415,0,32732,-33147,0
2024-10-15,-9323,0,-50434,59757,0
2024-10-14,-12813,-10000,95034,-72221,0
2024-10-11,394,-950,-3986,4542,0
2024-10-10,-9192,520,44712,-36040,0
2024-10-08,1040,-2500,3421,-1961,0
2024-10-07,-9891,0,31304,-21413,0
2024-10-04,-25662,0,1753,23909,0
2024-10-02,-9861,1000,80239,-71378,0
2024-09-30,-1062,7,-37597,38652,0
2024-09-27,-21278,36,45753,-24511,0
2024-09-26,8447,-333,-5136,-2978,0
2024-09-25,1228,0,-6130,4902,0
2024-09-24,3368,-99,30685,-33954,0
2024-09-23,14511,0,-20510,5999,0
2024-09-20,-31024,42,-9291,40273,0
2024-09-19,-13338,-15,5307,8046,0
2024-09-13,761,100,-14519,13658,0
2024-09-12,-141599,-2479,81821,62257,0
